carat,x dimension,clarity_ i1,clarity_ si1,clarity_ si2,cut_ fair,cut_ good,cut_ ideal,cut_ premium,cut_ very good,price
0.7989999999999999,5.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4100.0
1.1,6.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9200.0
0.7989999999999999,6.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8000.0
1.4,7.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11500.0
1.35,7.1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9900.0
0.7989999999999999,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7500.0
0.65,5.6,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3500.0
0.9,6.1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2600.0
1.05,6.6,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,8500.0
1.3,7.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9800.0
0.7989999999999999,6.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7900.0
0.6,5.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3400.0
0.45,4.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2500.0
0.7989999999999999,4.6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1600.0
0.85,6.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6500.0
1.2,6.9,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,10100.0
0.35,4.5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,900.0
1.1,6.8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9400.0
0.7989999999999999,4.6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,800.0
0.55,5.3,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1700.0
0.9,6.2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,6800.0
1.2,6.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10100.0
1.05,6.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9500.0
1.15,6.7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9200.0
0.65,5.6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2900.0
0.55,5.4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3300.0
0.7989999999999999,5.9,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2500.0
0.55,5.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3100.0
0.75,5.9,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4500.0
0.7989999999999999,6.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7700.0
0.85,6.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6400.0
0.6,5.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2800.0
0.4,4.7,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2200.0
0.5,5.1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3000.0
1.3,6.9,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,9900.0
0.45,4.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2300.0
0.65,5.6,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3300.0
0.9,6.2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,6600.0
1.2,5.885786802030457,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10000.0
0.55,5.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2300.0
0.95,6.4,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,7100.0
0.75,5.8,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4600.0
1.4,7.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11200.0
0.5,5.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2300.0
0.95,6.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6800.0
0.7989999999999999,5.7,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1900.0
0.4,4.7,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2000.0
1.3,7.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,9900.0
0.65,5.6,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3300.0
1.1,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9500.0
1.3,7.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,10300.0
0.95,6.4,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,7100.0
1.15,6.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9800.0
0.7989999999999999,5.9,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2100.0
0.7989999999999999,5.6,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2300.0
0.8,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5900.0
0.45,4.8,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1100.0
0.7989999999999999,6.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7900.0
0.75,5.7,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3800.0
0.75,5.9,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4700.0
1.15,6.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9800.0
0.4,4.8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1400.0
0.55,5.3,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2300.0
0.7989999999999999,6.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6000.0
0.4,4.8,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2100.0
1.5,7.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10800.0
0.8,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4900.0
0.5,5.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3200.0
0.55,5.4,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2500.0
1.4,7.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11000.0
0.7989999999999999,5.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2400.0
0.85,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6500.0
0.6,5.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3700.0
0.7,5.7,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4200.0
0.9,6.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6700.0
0.9,6.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2400.0
0.85,6.1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,6300.0
1.25,6.9,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10400.0
1.0,6.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7500.0
1.3,6.9,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,9900.0
0.7989999999999999,6.3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7800.0
1.25,6.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10300.0
0.7989999999999999,6.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7900.0
0.7989999999999999,6.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7800.0
0.7,5.885786802030457,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2100.0
0.45,4.9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2600.0
0.7989999999999999,5.7,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2500.0
1.3,6.9,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,10500.0
0.7,5.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4500.0
0.45,4.8,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1500.0
0.85,6.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6600.0
0.6,5.5,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2200.0
1.25,6.9,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,10400.0
0.4,4.8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2700.0
0.95,6.3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7300.0
1.05,6.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9600.0
1.2,6.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10200.0
0.7989999999999999,4.3,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,700.0
0.55,5.4,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2800.0
0.75,5.9,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4600.0
0.65,5.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3300.0
